City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,toliara,-23.35,43.6667,22.3,73,0,5.57,MG,1695073304
331,linton,39.0348,-87.1658,25.82,27,0,3.01,US,1695073304
332,ust'-ilimsk,58.0006,102.6619,7.78,95,92,2.04,RU,1695073304
333,manavalakurichi,8.1333,77.3,24.92,91,100,4.25,IN,1695073304
334,chenzhou,25.8,113.0333,24.1,92,30,2.1,CN,1695073304
335,kourou,5.1552,-52.6478,30.03,88,57,3.5,GF,1695073304
336,kara-balta,42.8142,73.8481,15.61,60,30,0.95,KG,1695073304
337,alice springs,-23.7,133.8833,18.75,22,58,5.14,AU,1695073304
338,tomatlan,19.9333,-105.25,31.34,60,10,3.26,MX,1695073304
339,prince rupert,54.3161,-130.3201,13.05,80,100,5.14,CA,1695073305
340,caidian,30.5833,114.0333,29.07,86,100,2.43,CN,1695073305
341,sitka,57.0531,-135.33,12.94,71,100,4.63,US,1695073305
342,manturovo,58.3353,44.7619,5.59,88,22,2.09,RU,1695073305
343,thompson,55.7435,-97.8558,23.09,49,0,3.6,CA,1695073198
344,lokomotivnyy,53.0118,60.5684,13.0,76,91,3.13,RU,1695073305
345,porto murtinho,-21.6989,-57.8825,34.4,28,68,3.73,BR,1695073305
346,otjimbingwe,-22.35,16.1333,18.41,39,2,1.18,NA,1695073305
347,bayanaul,50.7889,75.6956,12.18,65,92,1.67,KZ,1695073305
348,kayangel,8.0823,134.7173,27.55,79,94,1.9,PW,1695073306
349,mundra,22.85,69.7333,27.64,87,100,7.93,IN,1695073306
350,mwene-ditu,-7.0,23.45,21.12,79,91,1.75,CD,1695073306
351,laurel,39.0993,-76.8483,25.85,55,40,3.6,US,1695073175
352,vetlanda,57.4289,15.0776,16.7,94,100,3.43,SE,1695073306
353,salalah,17.0151,54.0924,27.05,94,75,0.51,OM,1695073306
354,bodaybo,57.8506,114.1933,-0.13,86,33,0.55,RU,1695073306
355,puerto ayacucho,5.6639,-67.6236,29.67,73,83,0.99,VE,1695073306
356,mermoz boabab,14.7065,-17.4758,28.31,89,40,0.0,SN,1695073306
357,nyala,12.05,24.8833,24.38,66,96,4.03,SD,1695073306
358,djenne,13.9061,-4.5533,28.36,59,48,3.8,ML,1695073307
359,la passe,45.5549,-0.8967,19.43,79,72,4.84,FR,1695073307
